Date,Category,Amount,Payment_Method,Month,Year,Day_Name,Is_Weekend,Spending_Level,Expense_Type,Month_Name,Daily_Total
2024-05-03,Food,141.59,UPI,5,2024,Friday,False,Low,Essential,May,4201.33
2024-04-13,Bills,2450.55,CASH,4,2024,Saturday,True,High,Essential,April,2450.55
2024-04-08,Transport,234.2,CARD,4,2024,Monday,False,Low,Non-Essential,April,3398.9500000000003
2024-05-21,Healthcare,1991.48,CASH,5,2024,Tuesday,False,Medium,Essential,May,6973.04
2024-05-14,Healthcare,1948.83,UPI,5,2024,Tuesday,False,Medium,Essential,May,3516.85
2024-05-17,Bills,2198.08,UPI,5,2024,Friday,False,High,Essential,May,2358.01
2024-05-23,Transport,265.79,CARD,5,2024,Thursday,False,Low,Non-Essential,May,5299.24
2024-05-09,Food,276.98,CASH,5,2024,Thursday,False,Low,Essential,May,2687.76
2024-05-21,Food,381.69,UPI,5,2024,Tuesday,False,Low,Essential,May,6973.04
2024-06-17,Bills,2277.14,CASH,6,2024,Monday,False,High,Essential,June,5427.16
2024-04-20,Transport,172.05,CARD,4,2024,Saturday,True,Low,Non-Essential,April,2894.5800000000004
2024-06-18,Food,340.01,UPI,6,2024,Tuesday,False,Low,Essential,June,2058.03
2024-04-08,Bills,2217.36,CARD,4,2024,Monday,False,High,Essential,April,3398.9500000000003
2024-04-10,Transport,122.47,CARD,4,2024,Wednesday,False,Low,Non-Essential,April,222.78
2024-06-19,Healthcare,1288.15,UPI,6,2024,Wednesday,False,Medium,Essential,June,1501.92
2024-04-01,Transport,139.19,CARD,4,2024,Monday,False,Low,Non-Essential,April,1786.73
2024-05-07,Transport,135.26,CARD,5,2024,Tuesday,False,Low,Non-Essential,May,6547.9400000000005
2024-05-13,Transport,152.24,CASH,5,2024,Monday,False,Low,Non-Essential,May,9341.03
2024-04-02,Bills,1202.04,UPI,4,2024,Tuesday,False,Medium,Essential,April,1545.35
2024-04-10,Food,100.31,CASH,4,2024,Wednesday,False,Low,Essential,April,222.78
2024-04-14,Food,371.1,CASH,4,2024,Sunday,True,Low,Essential,April,2508.03
2024-05-22,Transport,259.45,CASH,5,2024,Wednesday,False,Low,Non-Essential,May,452.3
2024-04-16,Transport,51.42,CARD,4,2024,Tuesday,False,Low,Non-Essential,April,2270.98
2024-05-16,Bills,1634.71,CASH,5,2024,Thursday,False,Medium,Essential,May,3935.12
2024-05-30,Transport,143.92,CARD,5,2024,Thursday,False,Low,Non-Essential,May,499.54
2024-04-05,Food,281.15,CASH,4,2024,Friday,False,Low,Essential,April,389.0
2024-05-30,Food,355.62,CASH,5,2024,Thursday,False,Low,Essential,May,499.54
2024-06-04,Food,363.69,CARD,6,2024,Tuesday,False,Low,Essential,June,1582.28
2024-06-18,Bills,1718.02,CASH,6,2024,Tuesday,False,Medium,Essential,June,2058.03
2024-05-14,Healthcare,780.99,CASH,5,2024,Tuesday,False,Medium,Essential,May,3516.85
2024-04-27,Bills,1609.2,UPI,4,2024,Saturday,True,Medium,Essential,April,7811.540000000001
2024-06-10,Transport,191.31,CARD,6,2024,Monday,False,Low,Non-Essential,June,4544.820000000001
2024-05-29,Food,137.07,CARD,5,2024,Wednesday,False,Low,Essential,May,659.3900000000001
2024-06-21,Food,246.16,CARD,6,2024,Friday,False,Low,Essential,June,4047.82
2024-06-15,Healthcare,879.84,UPI,6,2024,Saturday,True,Medium,Essential,June,879.84
2024-06-23,Food,124.52,CARD,6,2024,Sunday,True,Low,Essential,June,10704.04
2024-04-04,Bills,2113.31,CASH,4,2024,Thursday,False,High,Essential,April,2113.31
2024-06-19,Transport,213.77,CASH,6,2024,Wednesday,False,Low,Non-Essential,June,1501.92
2024-04-18,Healthcare,1488.78,CASH,4,2024,Thursday,False,Medium,Essential,April,6778.99
2024-05-26,Healthcare,819.37,CASH,5,2024,Sunday,True,Medium,Essential,May,1395.48
2024-04-17,Bills,2356.12,CARD,4,2024,Wednesday,False,High,Essential,April,3091.04
2024-04-03,Healthcare,1629.28,CASH,4,2024,Wednesday,False,Medium,Essential,April,1726.75
2024-06-21,Healthcare,1978.13,UPI,6,2024,Friday,False,Medium,Essential,June,4047.82
2024-04-30,Food,444.88,CASH,4,2024,Tuesday,False,Low,Essential,April,919.7
2024-06-14,Food,306.64,CASH,6,2024,Friday,False,Low,Essential,June,2197.56
2024-04-09,Food,180.3,CASH,4,2024,Tuesday,False,Low,Essential,April,1393.08
2024-06-03,Healthcare,1044.79,UPI,6,2024,Monday,False,Medium,Essential,June,4007.32
2024-05-02,Transport,192.28,UPI,5,2024,Thursday,False,Low,Non-Essential,May,192.28
2024-04-08,Healthcare,481.12,CARD,4,2024,Monday,False,Low,Essential,April,3398.9500000000003
2024-04-29,Healthcare,800.07,CASH,4,2024,Monday,False,Medium,Essential,April,800.07
2024-04-16,Transport,296.94,CARD,4,2024,Tuesday,False,Low,Non-Essential,April,2270.98
2024-05-27,Food,290.25,CASH,5,2024,Monday,False,Low,Essential,May,7615.41
2024-06-08,Food,136.85,CASH,6,2024,Saturday,True,Low,Essential,June,136.85
2024-06-11,Healthcare,1465.62,UPI,6,2024,Tuesday,False,Medium,Essential,June,3254.77
2024-05-03,Food,413.34,UPI,5,2024,Friday,False,Low,Essential,May,4201.33
2024-04-02,Food,343.31,CARD,4,2024,Tuesday,False,Low,Essential,April,1545.35
2024-04-18,Bills,2526.8,CASH,4,2024,Thursday,False,High,Essential,April,6778.99
2024-05-01,Bills,1954.28,UPI,5,2024,Wednesday,False,Medium,Essential,May,3061.64
2024-05-16,Food,215.48,CASH,5,2024,Thursday,False,Low,Essential,May,3935.12
2024-05-06,Bills,2415.06,CASH,5,2024,Monday,False,High,Essential,May,3683.88
2024-06-14,Bills,1890.92,CASH,6,2024,Friday,False,Medium,Essential,June,2197.56
2024-06-16,Food,254.27,CASH,6,2024,Sunday,True,Low,Essential,June,517.64
2024-06-03,Transport,223.93,UPI,6,2024,Monday,False,Low,Non-Essential,June,4007.32
2024-05-22,Food,192.85,CASH,5,2024,Wednesday,False,Low,Essential,May,452.3
2024-04-06,Healthcare,1204.65,CARD,4,2024,Saturday,True,Medium,Essential,April,1204.65
2024-05-04,Transport,211.25,UPI,5,2024,Saturday,True,Low,Non-Essential,May,1226.64
2024-05-07,Bills,2766.36,CARD,5,2024,Tuesday,False,High,Essential,May,6547.9400000000005
2024-04-23,Bills,2033.65,CARD,4,2024,Tuesday,False,High,Essential,April,2033.65
2024-05-09,Healthcare,364.88,UPI,5,2024,Thursday,False,Low,Essential,May,2687.76
2024-06-23,Bills,1914.43,UPI,6,2024,Sunday,True,Medium,Essential,June,10704.04
2024-04-19,Bills,1432.96,CASH,4,2024,Friday,False,Medium,Essential,April,1432.96
2024-05-25,Healthcare,1031.72,UPI,5,2024,Saturday,True,Medium,Essential,May,1684.68
2024-04-20,Bills,2722.53,CARD,4,2024,Saturday,True,High,Essential,April,2894.5800000000004
2024-05-12,Transport,207.43,CARD,5,2024,Sunday,True,Low,Non-Essential,May,295.87
2024-04-25,Transport,283.66,CARD,4,2024,Thursday,False,Low,Non-Essential,April,1033.67
2024-05-17,Food,159.93,UPI,5,2024,Friday,False,Low,Essential,May,2358.01
2024-06-26,Transport,173.84,UPI,6,2024,Wednesday,False,Low,Non-Essential,June,2363.61
2024-05-08,Healthcare,375.1,UPI,5,2024,Wednesday,False,Low,Essential,May,375.1
2024-04-09,Food,430.96,CARD,4,2024,Tuesday,False,Low,Essential,April,1393.08
2024-06-01,Bills,2644.26,CARD,6,2024,Saturday,True,High,Essential,June,4283.3
2024-06-28,Bills,1597.68,UPI,6,2024,Friday,False,Medium,Essential,June,3630.71
2024-04-05,Transport,107.85,CARD,4,2024,Friday,False,Low,Non-Essential,April,389.0
2024-06-12,Food,496.76,UPI,6,2024,Wednesday,False,Low,Essential,June,2289.7
2024-05-24,Transport,126.82,UPI,5,2024,Friday,False,Low,Non-Essential,May,2714.6600000000003
2024-04-17,Food,138.99,UPI,4,2024,Wednesday,False,Low,Essential,April,3091.04
2024-05-09,Healthcare,497.26,CASH,5,2024,Thursday,False,Low,Essential,May,2687.76
2024-05-31,Bills,2003.99,CASH,5,2024,Friday,False,High,Essential,May,5138.1
2024-06-06,Food,201.26,CASH,6,2024,Thursday,False,Low,Essential,June,4844.84
2024-06-28,Transport,265.11,CARD,6,2024,Friday,False,Low,Non-Essential,June,3630.71
2024-04-24,Healthcare,1870.77,UPI,4,2024,Wednesday,False,Medium,Essential,April,3288.9300000000003
2024-05-26,Transport,123.02,CARD,5,2024,Sunday,True,Low,Non-Essential,May,1395.48
